,sen,sendel,oricat,verbs,storyid,sentencenum
35,He knew this could be one of two things.,He <VERB> this could be one of two things . ,neg,know ,1827aad9-726e-4b1e-a0cd-6b8ec8a63c28,2
36,She had to wait the entire weekend to get her wallet back.,She had to wait the entire weekend to <VERB> her wallet back . ,pos,get ,3340b023-1b34-4c3d-9700-f63621842ca0,5
37,Tyler needed to go to Walmart.,Tyler needed to <VERB> to Walmart . ,equal,go ,97076ea0-17f2-4082-a59d-0f78c056f1e5,1
38,Lucy was in her bed sulking.,Lucy was in her bed <VERB> . ,neg,sulk ,5ad50613-9f96-42a4-b370-32c6cca7ee50,1
39,"The rehab staff put a watch on him after that,","The rehab staff <VERB> a watch on him after that , ",equal,put ,f70350ae-06eb-4a01-86f7-c4fa76de1ffb,5
40,The man died.,The man <VERB> . ,neg,die ,b6739cce-092f-4814-9460-ca112868f6ed,1
41,She saw something shiny out of the corner of her eye.,She <VERB> something shiny out of the corner of her eye . ,neg,see ,3f1976df-7751-4ee4-ad82-7bcdaa983136,2
42,He ran out of deodorant.,He <VERB> out of deodorant . ,pos,run ,f118a786-de75-43cc-9f66-ca70ecd6ee5f,2
43,Finally for her 12th birthday they got her a surprise.,Finally for her 12th birthday they <VERB> her a surprise . ,pos,get ,59edf5cb-28b8-4dfe-adc3-2039ceb70438,3
44,His first reaction was to scream as it was hot.,His first reaction was to <VERB> as it was hot . ,pos,scream ,f5cbdca9-a62c-4c7e-a4b9-3f89da87fe22,3
45,"He cut himself a slice, and then two more.","He <VERB> himself a slice , and then two more . ",pos,cut ,1ebe9b87-e4a0-4716-aaa7-aaf665698ca5,3
46,Her brother had put a buzzer in his palm to scare her.,Her brother had <VERB> a buzzer in his palm to scare her . ,equal,put ,764df227-4265-478a-bc08-a23324710263,4
47,His dad looked at the man.,His dad <VERB> at the man . ,equal,look ,9d79ed2b-1540-47b8-8439-c16056721c98,4
48,She had to put her older cat on an anti-anxiety medication.,She had to <VERB> her older cat on an anti - anxiety medication . ,equal,put ,c73cf7eb-adc6-45d2-941e-458a3dc2dc50,4
49,I went inside and sat back down.,I <VERB> inside and sat back down . ,equal,go ,0577909e-e09a-4dd4-8e23-65b839944091,5
50,Jane always wanted to be a musician.,Jane always <VERB> to be a musician . ,neg,want ,37247e34-6efe-4939-b40f-659f6cc7af00,1
51,He fixed it up to go faster.,He <VERB> it up to go faster . ,pos,fix ,e529ca98-f20f-49fd-9c5f-796e8ed54d8f,2
52,"However, she sometimes wants to know more about science.","However , she sometimes wants to <VERB> more about science . ",neg,know ,f6fb6301-9689-4ec1-8f68-714bfde05ad9,2
53,Fred had to go to a wedding.,Fred had to <VERB> to a wedding . ,equal,go ,f2dadb74-20fa-4808-9057-ac502cf497a2,1
54,Mike thoroughly enjoyed the horror movie.,Mike thoroughly <VERB> the horror movie . ,neg,enjoy ,faa8f17e-0f72-414b-86f0-4fba171b9369,2
55,Noah was building a boat with his father one summer.,Noah was <VERB> a boat with his father one summer . ,pos,build ,529fe723-61c1-4b29-9e0e-079702ab125e,1
56,Ana wanted to read an old book.,Ana wanted to <VERB> an old book . ,equal,read ,0b62490f-455b-4d04-8894-da58ad914b64,1
57,He wasn't sure if he liked it or not.,He was n't sure if he <VERB> it or not . ,equal,like ,d50632e6-e5f4-4b21-8c06-4481d3457c68,2
58,He was nervous and just wanted to be apart of something.,He was nervous and just <VERB> to be apart of something . ,neg,want ,ae4ddd09-40cf-4c5d-9f49-d216271238dd,3
59,"When Kate tried it, she thought it was not the best food.","When Kate tried it , she <VERB> it was not the best food . ",pos,think ,767b8b98-4af3-46f0-acb8-5c2244d80ed6,4
60,The girls merely wanted to shake things up a little bit.,The girls merely wanted to <VERB> things up a little bit . ,pos,shake ,e10b2c08-4c7e-485d-8280-0492e08ecb0c,3
61,The two reconnected throughout the day and planned to hang out more.,The two reconnected throughout the day and planned to <VERB> out more . ,pos,hang ,0b6c0dce-d677-4e75-ae75-226fed91d50d,5
62,"One day, she saw a beautiful bird in her yard.","One day , she <VERB> a beautiful bird in her yard . ",neg,see ,eecffffd-ee04-49a0-b436-8613ce0fdc26,2
63,He was able to get off without a problem.,He was able to <VERB> off without a problem . ,pos,get ,aeb4d4e8-bf1b-4bb3-9482-ec1b14051817,5
64,Sitting in my chair as my teacher goes off on another lecture.,Sitting in my chair as my teacher <VERB> off on another lecture . ,equal,go ,fb858b2f-6ece-4fae-9a95-b36abe394d07,1
65,Jessica then went home and read the books all within a week.,Jessica then <VERB> home and read the books all within a week . ,equal,go ,f724c4f9-726b-4e1f-a6c3-9a637e55791a,5
66,My wife wanted the kids.,My wife <VERB> the kids . ,neg,want ,c7468aee-be61-435c-ac0d-55c2f43e28cf,2
67,Bonnie was service a customer at the cafe she worked at.,Bonnie was service a customer at the cafe she <VERB> at . ,pos,work ,bf5fd6f5-63c4-41a5-bca3-8bf6875212a2,1
68,He went over the bridge and the speed dropped to 45 mph.,He went over the bridge and the speed <VERB> to 45 mph . ,pos,drop ,83fc5d08-4883-4cdb-9baa-129bbfa58d2e,2
69,I tried it on and loved the way it looked.,I tried it on and <VERB> the way it looked . ,pos,love ,f5f5cbc2-f1f3-4f6d-9aaf-bc68c07de83d,4
70,She had never had her blood taken before.,She had never had her blood <VERB> before . ,pos,take ,a9b2a396-6d90-491b-bf57-069b7d061223,3
71,She wished she hadn't wasted her money on it.,She wished she had n't <VERB> her money on it . ,equal,waste ,8e1b2e6c-440b-447e-9a3f-efe556789a51,5
72,He sat at his desk to avoid distractions.,He sat at his desk to <VERB> distractions . ,pos,avoid ,50a298ab-318c-44ff-837f-8fbace5777ff,2
73,One evening he hears a noise outside.,One evening he <VERB> a noise outside . ,neg,hear ,57031959-6732-4f5d-9e81-a516bb365e11,3
74,None of the kids knew where the remote was.,None of the kids <VERB> where the remote was . ,neg,know ,e86b613f-635a-4ae8-89b8-489973022207,4
75,"To stay cool, I read two books with cold weather settings.","To stay cool , I <VERB> two books with cold weather settings . ",equal,read ,5d3ce5c4-0755-4970-84df-f799d14affb6,3
76,He explored downtown Buffalo all day.,He <VERB> downtown Buffalo all day . ,pos,explore ,49f714bf-ea9d-48da-8280-cf56e815ada6,3
77,This time she tried something different.,This time she <VERB> something different . ,pos,try ,22b3b7c9-8ced-46bf-b4c5-338d918bd78b,3
78,He realized he had left the sandwich at home!,He realized he had <VERB> the sandwich at home ! ,equal,leave ,c680a311-8c1e-437d-a1f3-03bf43c21e64,5
79,"The experience of the storm, left Arlene feeling fearful.","The experience of the storm , <VERB> Arlene feeling fearful . ",equal,leave ,5b1eb7e3-9b0d-4af5-b4a5-85d56caa3d67,2
80,They were mean girls and no one liked them.,They were mean girls and no one <VERB> them . ,equal,like ,a984bfdc-efa9-4fcd-aafd-d85979f27bdc,4
81,I even got my husband a giant bag of beef jerky.,I even <VERB> my husband a giant bag of beef jerky . ,pos,get ,8021eb99-ad9c-4dcd-8376-e3921653989c,4
82,Kanye West went to a music festival.,Kanye West <VERB> to a music festival . ,equal,go ,9beac8d0-fd4e-4e8f-a057-2be58b6880ee,1
83,Ella found that she had different talents than Connie.,Ella <VERB> that she had different talents than Connie . ,equal,find ,ece3f697-f916-4f6b-8209-5d6bf1f930ab,5
84,Sarah loved children and teaching.,Sarah <VERB> children and teaching . ,pos,love ,42daab1b-0349-4a20-83e7-2fab9a18f4c6,1
85,She could not believe how beautiful the red dress on the display was.,She could not <VERB> how beautiful the red dress on the display was . ,neg,believe ,3e61f426-b01d-44c8-adad-442d7826f73e,4
86,His teacher kept on talking.,His teacher <VERB> on talking . ,neg,keep ,5e88bbac-0c1f-4547-88ae-fbc1929ee107,2
87,"Just in time, Tom saw and pulled into a gas station!","Just in time , Tom saw and <VERB> into a gas station ! ",pos,pull ,f329e118-1fdf-4f24-9dd9-8116f982546d,5
88,"One night in particular, he kept hearing strange noises.","One night in particular , he kept <VERB> strange noises . ",neg,hear ,74bb6bfc-aa43-4a64-a971-a15f0baf9abd,2
89,The new year was about to begin and Mary met with her teachers.,The new year was about to <VERB> and Mary met with her teachers . ,pos,begin ,8b9d6312-705a-43c9-be7b-6f4c3f2c0b11,2
90,He waited outside the record store for it.,He <VERB> outside the record store for it . ,neg,wait ,d2e4b579-0fd9-43fc-ba06-8a2b98672ade,2
91,She felt better than ever.,She <VERB> better than ever . ,equal,feel ,ec26c973-9fe5-45b3-a261-ed9edd07db24,4
92,"But she wanted to impress Fred, her new boyfriend.","But she wanted to <VERB> Fred , her new boyfriend . ",neg,impress ,9757791d-686e-4a07-9474-fea5c911b5bf,2
93,She decided she would buy a baster.,She decided she would <VERB> a baster . ,pos,buy ,20949a73-19b0-4583-9055-55b8600ef9b7,3
94,She found her mother's old hair curlers and put them in her hair.,She <VERB> her mother 's old hair curlers and put them in her hair . ,equal,find ,9e06863a-3295-4894-a196-9dadad9a1729,2
95,They rented a bus to take them to the game.,They <VERB> a bus to take them to the game . ,pos,rent ,671710d0-5003-4cf8-896a-d0b7bb115610,3
96,"After the sleepover, Billy's mom found the bunny in the trash.","After the sleepover , Billy 's mom <VERB> the bunny in the trash . ",equal,find ,525128a1-626b-4b48-b8a7-c7623ec0bd71,5
97,Stanley is glad that he had something to drink.,Stanley is glad that he had something to <VERB> . ,pos,drink ,22ef5554-54a8-4ed7-ac21-0ca011481217,5
98,I went apple picking with my sweetheart the other day.,I <VERB> apple picking with my sweetheart the other day . ,equal,go ,d8c9a2e6-b3c8-4652-a56e-516975e74c81,1
99,"Her mother was proud, and planned to buy a beautiful dress.","Her mother was proud , and planned to <VERB> a beautiful dress . ",pos,buy ,e9556e4b-8845-41bd-a350-a022801c3259,2
100,Whitney was so tired of always feeling tired.,Whitney was so tired of always <VERB> tired . ,equal,feel ,2fa8e31f-0251-4f03-a39d-fa24969469f8,1
101,"At the fair, Abby found a precious fluffy white kitten.","At the fair , Abby <VERB> a precious fluffy white kitten . ",equal,find ,45f69a0b-9741-465f-b2cb-d06b4fb98770,4
102,Joe was happy to see his son happy.,Joe was happy to <VERB> his son happy . ,neg,see ,f43bf841-58d0-499c-b10b-0d21dd475294,5
103,He found a great place in Brooklyn.,He <VERB> a great place in Brooklyn . ,equal,find ,5c743d68-6496-48e6-9bcc-53cd2d2254b2,2
104,She had mentioned her love of a ring to her friends in front of him.,She had <VERB> her love of a ring to her friends in front of him . ,equal,mention ,fe82d9a6-bf48-4a81-b0c7-c63d44eb88cf,3
105,He knew he was in the lead.,He <VERB> he was in the lead . ,neg,know ,6e09b925-c3d6-4fa3-85e0-6dfcf65d3b72,3
106,Barbara felt pain in her lower abdomen.,Barbara <VERB> pain in her lower abdomen . ,equal,feel ,695b2e99-fbdd-40f5-a40b-baa756ea7c86,1
107,Stan went to the paint store to get more paint.,Stan went to the paint store to <VERB> more paint . ,pos,get ,eb81cde0-8935-46ad-95dd-359aa5afc3b9,3
108,She vowed to lose twenty pounds.,She vowed to <VERB> twenty pounds . ,equal,lose ,21987021-3bab-4975-93e6-2455fc63afc1,2
109,He held onto the handle.,He <VERB> onto the handle . ,pos,hold ,1e04394f-1493-4f33-aa38-6cc3c8578b30,5
110,He saw he needed gas.,He saw he <VERB> gas . ,neg,need ,14f8ea08-8acc-469c-83f9-ce9d81c2c23c,2
111,This proved to be a very useful phrase.,This <VERB> to be a very useful phrase . ,pos,prove ,3f5616f5-e9c2-4dbd-b1bd-25d4b2efca78,5
112,"After he picked up several groceries, he dropped them.","After he picked up several groceries , he <VERB> them . ",pos,drop ,9b248da9-3b9d-4f17-a7d5-28dbb2d59fea,2
113,"Cuddles whenever you want them, and most of all love.","Cuddles whenever you <VERB> them , and most of all love . ",neg,want ,182f8cd9-442e-4caf-810b-7276d3d961ee,4
114,He felt like his home was missing something.,He <VERB> like his home was missing something . ,equal,feel ,c8cf9131-5608-4f4d-8868-0c9d8bffeafa,2
115,"A few seconds later, outside started to rain.","A few seconds later , outside started to <VERB> . ",pos,rain ,ccfae2c3-262f-40cc-917a-6eba4a48a1d6,3
116,One woman noticed someone suspicious on her street.,One woman <VERB> someone suspicious on her street . ,equal,notice ,5c2c6f88-277a-4925-8817-6bb789f591eb,3
117,Grace was at home alone on a friday night when she heard her doorbell.,Grace was at home alone on a friday night when she <VERB> her doorbell . ,neg,hear ,28e12d80-cfb1-4c4e-9209-40fac901a647,1
118,Gina's librarian handed her the books they ordered for her.,Gina 's librarian <VERB> her the books they ordered for her . ,pos,hand ,b46613b8-4aa4-4835-9569-50506e45adcc,1
119,Lola had to limp home and call for a doctor.,Lola had to limp home and <VERB> for a doctor . ,pos,call ,36a37280-8993-41e1-be33-e7aab5719e64,5
120,Nobody liked my hot dogs at all.,Nobody <VERB> my hot dogs at all . ,equal,like ,4619cb22-bac6-493e-bda4-f56bf640866d,2
121,There was a horse looking back at her.,There was a horse <VERB> back at her . ,equal,look ,9e4bece4-53f5-4105-89bf-4c65dc69a786,2
122,This is going to be the longest work shift ever!,This is <VERB> to be the longest work shift ever ! ,equal,go ,18332583-e9fe-4011-b100-217d146e1d26,5
123,She told him to lower the music.,She told him to <VERB> the music . ,pos,lower ,1f70189f-6717-4b9b-9dbf-cfad0c96019f,4
124,Johnson has always wanted to drive from San Francisco to Los Angeles.,Johnson has always wanted to <VERB> from San Francisco to Los Angeles . ,pos,drive ,7bd21b59-9b8b-4c78-be11-593ca08cfb9c,1
125,"At the top, they found a long line of people.","At the top , they <VERB> a long line of people . ",equal,find ,1df70c5a-540d-4eaa-915d-2c4eb2297b9b,2
126,He decided to try a small portion of everything.,He <VERB> to try a small portion of everything . ,pos,decide ,a26a79c2-06ea-4ae6-949f-714ac03549a9,3
127,Eventually he ate other things.,Eventually he <VERB> other things . ,pos,eat ,f5803cb2-3596-4d2d-b5e0-176e85bd671e,5
128,Last week I went on a fun beach trip.,Last week I <VERB> on a fun beach trip . ,equal,go ,b60e5022-bd29-4e20-b4fa-ec6f05abd144,1
129,Some I hated more than others.,Some I <VERB> more than others . ,neg,hat ,83a479e9-c277-43ab-ab8b-1e54d264ac43,4
130,Him and his friends went to a BBQ place.,Him and his friends <VERB> to a BBQ place . ,equal,go ,b90b7172-e5f9-41af-810c-0186558adeb3,3
131,My family and I wanted to go sailing once.,My family and I wanted to <VERB> sailing once . ,equal,go ,57ca148e-8394-410c-a4ea-248d99bdcd62,1
132,My body ached for another week after.,My body <VERB> for another week after . ,neg,ache ,f7744965-b4c8-4d11-9568-c70bdf6a553e,5
133,I slept late and enjoyed every minute of it.,I slept late and <VERB> every minute of it . ,neg,enjoy ,89e4c21a-7847-4ea0-8762-a27f995a996b,2
134,Now our car window is broken!,Now our car window is <VERB> ! ,pos,break ,e043ec37-33d0-4715-899d-a8f19f97ef25,5
135,I was so happy that I cried.,I was so happy that I <VERB> . ,equal,cry ,ef523230-c4e7-4af3-bcbc-934ba0987126,5
136,There once was a hacker known as 4Chan.,There once was a hacker <VERB> as 4Chan . ,neg,know ,1623eff5-3586-4202-b843-70d713ef8999,1
137,Sam was truly surprised to see white splotches on the red cloth.,Sam was truly surprised to <VERB> white splotches on the red cloth . ,neg,see ,8e8ebac6-33e6-4de6-a2fe-a83d201c3dc1,5
138,When growing up I had neighbors that I hardly knew about.,When <VERB> up I had neighbors that I hardly knew about . ,pos,grow ,0ee3237e-3387-4d3b-aed2-6728d91912e5,1
139,Jerry and Jane got married three months later.,Jerry and Jane <VERB> married three months later . ,pos,get ,6b8fc17d-ca5d-4ccb-9faa-831987b9cf7e,4
140,I waited hours.,I <VERB> hours . ,neg,wait ,e70434e4-fe09-4a91-9804-ea0b261a12d4,3
141,She decides to spend some time playing guitar.,She <VERB> to spend some time playing guitar . ,pos,decide ,b48831b2-8b79-42bf-b61f-b6c075e30c3f,2
142,We ran so much I thought I was on the track team.,We <VERB> so much I thought I was on the track team . ,pos,run ,2696c141-b7d6-4dc7-94cc-a1234b48196c,4
143,He layed down and went back to sleep.,He layed down and <VERB> back to sleep . ,equal,go ,70db5da6-ec8d-421a-a348-0e140433b1ad,5
144,He also enjoyed yummy local meals.,He also <VERB> yummy local meals . ,neg,enjoy ,8d2bb13a-58e4-4522-bca5-4ff510042952,4
145,He played poker every night and had cards hidden in his sleeve.,He played poker every night and had cards <VERB> in his sleeve . ,pos,hide ,2ae9c291-554c-4516-aaae-adf35b649be1,2
146,Rick waited excitedly for his order.,Rick <VERB> excitedly for his order . ,neg,wait ,7f896fd2-4d4f-49eb-815c-0a1a4991de63,4
147,Jake noticed a spot on his arm.,Jake <VERB> a spot on his arm . ,equal,notice ,c48b3003-6ec2-49bb-88af-70aac4186f39,1
148,Her friends decided to throw her a cupcake party.,Her friends <VERB> to throw her a cupcake party . ,pos,decide ,6f24287e-2022-4b6c-b3e9-a738c7156e93,2
149,She decided she needed to have her first kiss.,She <VERB> she needed to have her first kiss . ,pos,decide ,4e239e5c-605f-40a6-b88a-24148848ad49,3
150,One night he especially enjoyed a piece by Bach.,One night he especially <VERB> a piece by Bach . ,neg,enjoy ,2e65bb79-835d-4009-8c2f-b41e38d620bd,3
151,To Josie's surprise Joe was also an amazing chess player and won.,To Josie 's surprise Joe was also an amazing chess player and <VERB> . ,pos,win ,b233e7bb-3e4a-4671-9495-fa923d27f70e,4
152,He needed to go to school soon.,He needed to <VERB> to school soon . ,equal,go ,ce1ea75f-fa2e-4fd1-a603-39d678d74883,2
153,Tom was sleeping soundly.,Tom was <VERB> soundly . ,neg,sleep ,4cdfbd91-83f5-4c34-a8a8-d0cf628ee9e4,1
154,After a while he noticed results.,After a while he <VERB> results . ,equal,notice ,10f41018-d458-4fb1-bec0-b9437f499d00,4
155,Marcy waited until the last minute and stayed up all night to finish.,Marcy waited until the last minute and <VERB> up all night to finish . ,neg,stay ,f716c882-8b59-44f1-94c1-dd6134859efb,5
156,He noticed they had a few copies of a recent big hit.,He <VERB> they had a few copies of a recent big hit . ,equal,notice ,ddb2a196-2294-4ab6-8e47-a19557b57a3e,2
157,Jen wanted a new bag.,Jen <VERB> a new bag . ,neg,want ,da17b67c-8650-4a82-9c74-457d568007da,1
158,Jack saw a dog in the street.,Jack <VERB> a dog in the street . ,neg,see ,e68aaab7-3312-4e5b-ad54-f78be0223b6c,1
159,The wedding went on according to plan.,The wedding went on <VERB> to plan . ,pos,accord ,acf19d95-a8b1-4dd4-8e1a-315c28e232ba,4
160,Nora had to attend a meeting in the state capitol.,Nora had to <VERB> a meeting in the state capitol . ,equal,attend ,4e7972e9-2c9f-4ce8-814f-29caab79e20f,1
161,Feliciano knew he and his kitten would be friends forever.,Feliciano <VERB> he and his kitten would be friends forever . ,neg,know ,d4d74154-bde0-4e73-b9f2-28472fd8626d,5
162,He now thinks of the UK as his home.,He now <VERB> of the UK as his home . ,pos,think ,29cda8ec-edfd-4718-b2cb-28ec21f1d8c5,5
163,Kate saw a guy she had a crush on 2 years ago.,Kate <VERB> a guy she had a crush on 2 years ago . ,neg,see ,cd99291e-9271-43c6-91ec-26267d667661,2
164,One day he couldn't find it.,One day he could n't <VERB> it . ,equal,find ,14c70e59-72fd-47f9-a6bc-d63d8a197e6f,2
165,"Finally, he received a new password and was able to log in.","Finally , he <VERB> a new password and was able to log in . ",neg,receive ,87979c32-60fa-45c5-a745-4340f7dac82b,5
166,My friends were waiting in line for the roller coaster.,My friends were <VERB> in line for the roller coaster . ,neg,wait ,cf171e08-7619-48a9-ac62-a2ce8fed12cc,1
167,Mia only has an air mattress and doesn't want the dogs on it.,Mia only has an air mattress and <VERB> n't want the dogs on it . ,pos,do ,7adc9522-5fb4-42d2-85d5-099edbe71b2c,2
168,"Soon Sara was feeling much, much better.","Soon Sara was <VERB> much , much better . ",equal,feel ,cf4e9b3a-1dc0-4833-99b8-d433c5636ea8,5
169,Robert went on an overnight hike with his father.,Robert <VERB> on an overnight hike with his father . ,equal,go ,a2a694a1-b3a2-4e7e-8585-5e0d61fa5dec,1
170,Jess needed new clothes.,Jess <VERB> new clothes . ,neg,need ,ff509800-25a5-47e5-93a6-725d1ad7e06b,1
171,But Cindy continued to buy more and more items.,But Cindy continued to <VERB> more and more items . ,pos,buy ,0371b8f0-1b61-4f0e-970b-e90a1896b159,5
172,But even with the internet Sean got bored quickly.,But even with the internet Sean got <VERB> quickly . ,equal,bore ,304699f1-b5f3-4493-a3ec-fd0f1b8f40d5,3
173,The people listened as the author spoke.,The people <VERB> as the author spoke . ,pos,listen ,232b295d-e240-4608-a777-d4c2ad2a0bf7,4
174,At the factory Greg saw that two different parts had the same number.,At the factory Greg <VERB> that two different parts had the same number . ,neg,see ,344cc991-3d97-41f4-a290-f9c30efb8427,1
175,Jake got married in shorts and a t-shirt.,Jake <VERB> married in shorts and a t - shirt . ,pos,get ,5503d8ee-5f5b-4d87-89a7-6e63bef4723e,5
176,Her parents sat her down and told her of house responsibilities.,Her parents <VERB> her down and told her of house responsibilities . ,neg,sit ,6083371b-16c9-494e-ab59-75d0a078fa1b,4
177,She couldn't find them anywhere.,She could n't <VERB> them anywhere . ,equal,find ,f638b8ee-3283-4d65-aeb2-cc415f9a691c,3
178,I would not be going to class today.,I would not be <VERB> to class today . ,equal,go ,b9621272-63b3-4150-814b-6f3c2ec99d20,5
179,The cowboy and the cow stand in the corral together.,The cowboy and the cow <VERB> in the corral together . ,equal,stand ,eda79c98-03ed-4adc-bddc-977c4431d870,1
180,They greeted him with a cake and lunch for his birthday.,They <VERB> him with a cake and lunch for his birthday . ,equal,greet ,618373aa-ea37-48c6-b36d-eb06ffa11c7b,5
181,At first it was fine but then she stumbled upon a skull.,At first it was fine but then she <VERB> upon a skull . ,neg,stumble ,ea473442-7584-48de-9eda-69004f1b7f00,3
182,Don was forced to forfeit.,Don was <VERB> to forfeit . ,pos,force ,f2f5330b-f792-422b-81f1-af0b0eb99eab,5
183,"Walter tried to hide in Laura's arms, but they weren't that close.","Walter tried to <VERB> in Laura 's arms , but they were n't that close . ",pos,hide ,c7a620d7-1e70-4adb-98f6-56419f559030,3
184,Jim and Ethan were about to leave for the ball game.,Jim and Ethan were about to <VERB> for the ball game . ,equal,leave ,65411607-45b8-4514-b2a2-defa884fd84c,1
185,One day her daughter came to visit from another country.,One day her daughter <VERB> to visit from another country . ,pos,come ,ac875dbc-ab8e-4bf9-844c-71d1f606fbd6,3
186,Charles' car wouldn't start one morning.,Charles ' car would n't <VERB> one morning . ,pos,start ,41981404-a870-455a-9a13-47539296df5b,1
187,Eric reluctantly gave the student no points.,Eric reluctantly <VERB> the student no points . ,pos,give ,2eaa89bd-9d23-456d-8f40-c2d1729e9449,5
188,He ran like a wild one after the birds.,He <VERB> like a wild one after the birds . ,pos,run ,776b9247-5294-4047-a2ba-c6058a98e8cc,2
