word,topic
immunity,legal
incarceration,legal
incompetent,legal
indictment,legal
injunction,legal
innocentv,legal
instructions,legal
jail,legal
judge,legal
judiciary,legal
jurisdiction,legal
jury,legal
justice,legal
law,legal
lawsuit,legal
lawyer,legal
legal,legal
legislation,legal
liable,legal
litigation,legal
manslaughter,legal
mediation,legal
minor,legal
misdemeanor,legal
moot,legal
murder,legal
negligence,legal
oath,legal
objection,legal
opinion,legal
order,legal
ordinance,legal
pardon,legal
parole,legal
party,legal
perjury,legal
petition,legal
plaintiff,legal
plea,legal
precedent,legal
prison,legal
probation,legal
prosecute,legal
prosecutor,legal
proxy,legal
record,legal
redress,legal
resolution,legal
reverse,legal
revoke,legal
robbery,legal
rules,legal
sentence,legal
settlement,legal
sheriff,legal
sidebar,legal
standing,legal
state,legal
statute,legal
stay,legal
subpoena,legal
suit,legal
suppress,legal
sustain,legal
testimony,legal
theft,legal
title,legal
tort,legal
transcript,legal
trial,legal
trust,legal
trustee,legal
venue,legal
verdict,legal
waiver,legal
warrant,legal
will,legal
witness,legal
writ,legal
zoning,legal
academy,military
advance,military
aircraft,military
ally,military
ammo,military
ammunition,military
armor,military
arms,military
army,military
arrow,military
arsenal,military
artillery,military
attack,military
attention,military
ballistic,military
barracks,military
base,military
battalion,military
battery,military
battle,military
battlefield,military
bomb,military
bombard,military
bombardment,military
brig,military
brigade,military
bullet,military
camouflage,military
camp,military
cannon,military
captain,military
capture,military
carrier,military
casualty,military
catapult,military
cavalry,military
colonel,military
combat,military
command,military
commander,military
commission,military
company,military
conflict,military
conquest,military
convoy,military
corps,military
covert,military
crew,military
decode,military
defeat,military
defend,military
defense,military
destroyer,military
division,military
draft,military
encode,military
enemy,military
engage,military
enlist,military
evacuate,military
explosive,military
fight,military
fire,military
fleet,military
force,military
formation,military
fort,military
front,military
garrison,military
general,military
grenade,military
grunt,military
guerrilla,military
gun,military
headquarters,military
helmet,military
honor,military
hospital,military
infantry,military
injury,military
intelligence,military
invade,military
invasion,military
jet,military
kill,military
leave,military
lieutenant,military
major,military
maneuver,military
marines,military
MIA,military
mid,military
military,military
mine,military
missile,military
mortar,military
navy,military
neutral,military
offense,military
officer,military
ordinance,military
parachute,military
peace,military
plane,military
platoon,military
private,military
radar,military
rank,military
recruit,military
regiment,military
rescue,military
reserves,military
retreat,military
ribbon,military
sabotage,military
sailor,military
salute,military
section,military
sergeant,military
service,military
shell,military
shoot,military
shot,military
siege,military
sniper,military
soldier,military
spear,military
specialist,military
squad,military
squadron,military
staff,military
submarine,military
surrender,military
tactical,military
tactics,military
tank,military
torpedo,military
troops,military
truce,military
uniform,military
unit,military
veteran,military
volley,military
war,military
warfare,military
warrior,military
weapon,military
win,military
wound,military
affirm,politics
appropriation,politics
aristocracy,politics
authoritarian,politics
authority,politics
authorization,politics
brief,politics
capitalism,politics
communism,politics
constitution,politics
conservatism,politics
court,politics
deficit,politics
diplomacy,politics
direct,politics
democracy,politics
equality,politics
exports,politics
fascism,politics
federation,politics
government,politics
ideology,politics
imports,politics
initiative,politics
legislature,politics
legitimacy,politics
liberalism,politics
liberty,politics
majority,politics
order,politics
political,politics
culture,politics
politics,politics
power,politics
primary,politics
property,politics
ratification,politics
recall,politics
referendum,politics
republic,politics
socialism,politics
state,politics
subsidy,politics
tariff,politics
imports,politics
tax,politics
totalitarian,politics
absolute,religion
affect,religion
aid,religion
angel,religion
anthem,religion
apostle,religion
archangel,religion
Archbishop,religion
balance,religion
ban,religion
belief,religion
benefit,religion
Bible,religion
bishop,religion
bless,religion
blessing,religion
bliss,religion
bond,religion
bow,religion
Buddhism,religion
canon,religion
Cantor,religion
cathedral,religion
celestial,religion
chapel,religion
charity,religion
choice,religion
Christianity,religion
church,religion
comfort,religion
community,religion
conflict,religion
connection,religion
conquest,religion
conservative,religion
control,religion
conversion,religion
convert,religion
core,religion
counsel,religion
courage,religion
Covenant,religion
creative,religion
Creator,religion
creed,religion
cross,religion
Crusade,religion
Darkness,religion
decision,religion
deity,religion
destiny,religion
Devil,religion
disciple,religion
discipline,religion
discussion,religion
divine,religion
divinity,religion
doctrine,religion
duty,religion
effect,religion
elder,religion
energy,religion
essence,religion
eternal,religion
ethics,religion
event,religion
evidence,religion
exile,religion
Exodus,religion
faith,religion
family,religion
fate,religion
Father,religion
favor,religion
fundamental,religion
gift,religion
glory,religion
God,religion
gospel,religion
grace,religion
growth,religion
guru,religion
habit,religion
hallow,religion
halo,religion
happiness,religion
harmony,religion
healing,religion
Heaven,religion
Hebrew,religion
holy,religion
honor,religion
hope,religion
host,religion
humane,religion
immortal,religion
influence,religion
insight,religion
instruction,religion
issue,religion
Jesuit,religion
Jesus,religion
joy,religion
Judaism,religion
judgment,religion
justice,religion
karma,religion
keen,religion
Keystone,religion
Kingdom,religion
Latin,religion
life,religion
light,religion
love,religion
loving,religion
marriage,religion
meaning,religion
mercy,religion
Messiah,religion
minister,religion
miracle,religion
mission,religion
mortal,religion
mosque,religion
movement,religion
music,religion
mystery,religion
nature,religion
nun,religion
official,religion
oracle,religion
order,religion
organ,religion
Orthodox,religion
outlook,religion
pacific,religion
pagan,religion
parish,religion
participation,religion
pastor,religion
patriarch,religion
peace,religion
perception,religion
personal,religion
perspective,religion
petition,religion
pilgrim,religion
politics,religion
power,religion
practice,religion
prayer,religion
prelude,religion
presence,religion
priest,religion
principle,religion
privacy,religion
prophet,religion
protection,religion
purpose,religion
query,religion
quest,religion
question,religion
quiet,religion
radiant,religion
radical,religion
rally,religion
rebirth,religion
redemption,religion
refuge,religion
relationship,religion
relative,religion
religion,religion
religious,religion
Revelation,religion
ritual,religion
role,religion
Sacrament,religion
sacred,religion
sacrifice,religion
sage,religion
saint,religion
salvation,religion
sanctuary,religion
savior,religion
scripture,religion
scriptures,religion
sect,religion
security,religion
sense,religion
serious,religion
serve,religion
service,religion
Sharia,religion
shepherd,religion
shrine,religion
silence,religion
sin,religion
society,religion
soul,religion
source,religion
spirit,religion
spiritual,religion
split,religion
statue,religion
Sunday,religion
support,religion
Supreme,religion
teaching,religion
temple,religion
tests,religion
text,religion
Torah,religion
tradition,religion
traditional,religion
trust,religion
unique,religion
unity,religion
unknown,religion
value,religion
vanity,religion
virtue,religion
vision,religion
voice,religion
voices,religion
watch,religion
weight,religion
whole,religion
wisdom,religion
wonder,religion
yang,religion
yin,religion
zeal,religion
astronomy,science
atom,science
biology,science
cell,science
chemical,science
chemistry,science
climate,science
control,science
data,science
electricity,science
element,science
energy,science
evolution,science
experiment,science
fact,science
flask,science
fossil,science
funnel,science
genetics,science
gravity,science
hypothesis,science
lab,science
laboratory,science
laws,science
mass,science
matter,science
measure,science
microscope,science
mineral,science
molecule,science
motion,science
observe,science
organism,science
particle,science
phase,science
physics,science
research,science
scale,science
science,science
scientist,science
telescope,science
temperature,science
theory,science
tissue,science
variable,science
volume,science
weather,science
weigh,science
planet,space
galaxy,space
space,space
universe,space
orbit,space
spacecraft,space
earth,space
moon,space
comet,space
star,space
astronaut,space
aerospace,space
asteroid,space
spaceship,space
starship,space
galactic,space
satellite,space
meteor,space
